customer_key,customer_name,age,age_group,customer_segment,total_sales,total_orders,total_quantity,total_products,last_order,recency,lifespan,avg_order_value,avg_monthly_sales
5226,Jacob Martinez,66,65 and Above,New,556,1,4,4,2013-02-26,151,0,556,556
5227,Wyatt Nelson,55,50-64,New,554,1,3,3,2013-03-03,150,0,554,554
5228,Maria Blue,67,65 and Above,New,554,1,3,3,2013-03-03,150,0,554,554
5229,Eric Lopez,66,65 and Above,New,81,1,3,3,2013-01-30,152,0,81,81
5230,Rafael Zhu,59,50-64,New,570,1,3,3,2013-12-11,141,0,570,570
5231,Wayne Chande,54,50-64,New,572,1,4,4,2013-12-07,141,0,572,572
5232,Craig Blanco,65,65 and Above,New,619,1,2,2,2013-12-18,141,0,619,619
5233,Dana Martin,64,50-64,New,2526,1,3,3,2013-01-11,152,0,2526,2526
5234,Chase Richardson,64,50-64,New,2476,1,2,2,2013-02-17,151,0,2476,2476
5235,Rebecca King,54,50-64,New,114,1,4,4,2014-01-14,140,0,114,114
5236,Wyatt Martin,64,50-64,New,14,1,2,2,2013-06-02,147,0,14,14
5237,Sebastian Morris,58,50-64,New,2443,1,1,1,2013-02-18,151,0,2443,2443
5238,Nicholas Martinez,58,50-64,New,99,1,4,4,2013-09-25,144,0,99,99
5239,Erin James,63,50-64,New,2515,1,4,4,2013-03-02,150,0,2515,2515
5240,Ann Arun,62,50-64,New,13,1,2,2,2013-04-09,149,0,13,13
5241,Gabriel Nelson,62,50-64,New,40,1,2,2,2014-01-05,140,0,40,40
5242,Madeline Green,51,50-64,New,5,1,1,1,2014-01-02,140,0,5,5
5243,Isabel Butler,50,50-64,New,127,2,3,3,2013-09-13,144,5,63,25
5244,Megan Garcia,62,50-64,New,7,1,2,2,2013-06-23,147,0,7,7
5245,Maria James,62,50-64,New,92,2,2,2,2013-08-26,145,6,46,15
5246,Gregory Kumar,56,50-64,New,2370,1,4,4,2013-10-14,143,0,2370,2370
5247,Alexandra Griffin,56,50-64,New,5,1,1,1,2014-01-23,140,0,5,5
5248,Lucas Simmons,61,50-64,New,13,1,2,2,2013-06-07,147,0,13,13
5249,Anna Brown,61,50-64,New,96,3,8,6,2013-07-22,146,0,32,96
5250,Alyssa Ross,61,50-64,New,40,1,2,2,2013-05-02,148,0,40,40
5251,Jesse Rivera,55,50-64,New,14,1,2,2,2013-04-29,149,0,14,14
5252,Brendan Raje,46,36-49,Regular,4512,2,3,3,2013-12-28,141,22,2256,205
5253,Makayla Howard,47,36-49,New,27,2,2,2,2013-12-18,141,7,13,3
5254,Danny Jiménez,52,50-64,Regular,2782,2,3,3,2013-11-02,142,19,1391,146
5255,Bethany Lal,52,50-64,Regular,2722,2,2,2,2013-11-17,142,19,1361,143
5256,Maria Morris,52,50-64,New,25,1,1,1,2013-02-21,151,0,25,25
5257,Taylor Russell,52,50-64,New,188,1,3,3,2013-04-17,149,0,188,188
5258,Richard Collins,52,50-64,New,82,2,3,3,2013-09-04,144,3,41,27
5259,Michele Chandra,47,36-49,New,73,1,4,4,2014-01-15,140,0,73,73
5260,Deanna Malhotra,52,50-64,New,64,1,3,3,2013-12-19,141,0,64,64
5261,Ebony Sai,54,50-64,Regular,2757,2,3,3,2013-12-08,141,15,1378,183
5262,Gina Schmidt,48,36-49,Regular,3001,2,5,5,2013-08-07,145,18,1500,166
5263,Diana Navarro,41,36-49,VIP,7170,3,7,7,2013-11-12,142,14,2390,512
5264,Kathryn Xie,41,36-49,VIP,6950,3,8,7,2013-12-13,141,16,2316,434
5265,Eduardo Robinson,53,50-64,VIP,7243,3,7,7,2013-09-19,144,17,2414,426
5266,Jennifer Howard,92,65 and Above,New,62,2,3,3,2013-11-24,142,0,31,62
5267,Julie Goel,43,36-49,New,27,1,2,2,2013-10-02,143,0,27,27
5268,Alisha Yang,54,50-64,New,64,1,3,3,2013-07-05,146,0,64,64
5269,Edwin Chen,53,50-64,Regular,3037,2,3,3,2013-11-22,142,19,1518,159
5270,Lindsey Kumar,53,50-64,Regular,2779,2,5,5,2013-12-15,141,14,1389,198
5271,Tara Nath,54,50-64,Regular,2779,2,5,5,2013-12-11,141,20,1389,138
5272,Jerome Hernandez,54,50-64,Regular,2772,2,5,5,2013-12-02,141,20,1386,138
5273,Michele Gutierrez,55,50-64,Regular,3014,2,4,4,2013-12-15,141,20,1507,150
5274,Raul Deng,54,50-64,Regular,3021,2,3,3,2013-08-14,145,18,1510,167
5275,Marie Martinez,49,36-49,Regular,2804,2,4,4,2013-11-30,142,13,1402,215
5276,Ross Diaz,56,50-64,New,5,1,1,1,2014-01-02,140,0,5,5
5277,Deborah McDonald,56,50-64,Regular,3282,2,3,3,2013-08-10,145,18,1641,182
5278,Brandi Carlson,45,36-49,New,7,1,2,2,2013-12-12,141,0,7,7
5279,Christy Luo,55,50-64,Regular,3010,2,4,4,2013-08-06,145,18,1505,167
5280,Angel Turner,56,50-64,Regular,2992,2,3,3,2013-12-06,141,20,1496,149
5281,Victoria Patterson,57,50-64,New,49,1,3,3,2013-09-27,144,0,49,49
5282,Glenn Ma,56,50-64,New,13,1,2,2,2013-11-04,142,0,13,13
5283,Gilbert Luo,57,50-64,New,64,1,3,3,2013-06-27,147,0,64,64
5284,Kristine Suarez,56,50-64,New,64,2,4,4,2013-06-29,147,1,32,64
5285,Clayton Raji,51,50-64,New,64,1,3,3,2013-10-03,143,0,64,64
5286,Troy Perez,57,50-64,New,7,1,2,2,2013-06-12,147,0,7,7
5287,Mindy Xie,53,50-64,New,77,1,5,5,2014-01-16,140,0,77,77
5288,Billy Torres,48,36-49,VIP,6921,3,4,4,2013-12-02,141,15,2307,461
5289,Laura Xu,53,50-64,Regular,4539,2,4,4,2013-11-30,142,21,2269,216
5290,Edwin Shen,40,36-49,Regular,2769,2,3,3,2013-12-10,141,14,1384,197
5291,Julie Pal,54,50-64,Regular,2779,2,4,4,2013-12-26,141,14,1389,198
5292,Russell Nath,54,50-64,Regular,2823,2,6,6,2013-11-30,142,19,1411,148
5293,Lindsey Lal,56,50-64,New,4921,2,3,3,2013-01-21,152,3,2460,1640
5294,Carly Lal,50,50-64,New,32,1,2,2,2013-03-25,150,0,32,32
5295,Sean Adams,55,50-64,New,5,1,1,1,2013-07-01,146,0,5,5
5296,Steve Hu,50,50-64,New,14,1,2,2,2013-07-05,146,0,14,14
5297,Roger Xu,51,50-64,New,138,1,5,5,2013-03-17,150,0,138,138
5298,Sydney White,56,50-64,New,123,1,5,5,2013-12-02,141,0,123,123
5299,Deanna Garcia,51,50-64,VIP,6890,3,4,4,2013-10-24,143,17,2296,405
5300,Adrienne Sanz,57,50-64,VIP,7001,3,9,9,2013-10-01,143,17,2333,411
5301,Alison Tang,42,36-49,New,5,1,1,1,2013-04-24,149,0,5,5
5302,Orlando Martin,42,36-49,New,112,2,4,4,2013-12-20,141,5,56,22
5303,Omar Cai,43,36-49,New,73,1,4,4,2013-03-16,150,0,73,73
5304,Rosa Zeng,40,36-49,New,25,1,1,1,2013-04-23,149,0,25,25
5305,Tracy Yuan,40,36-49,New,150,1,3,3,2014-01-26,140,0,150,150
5306,Justin Moore,40,36-49,New,49,1,2,2,2013-04-30,149,0,49,49
5307,Stanley Gonzalez,40,36-49,Regular,2983,2,2,2,2013-12-14,141,19,1491,157
5308,Kristine Romero,41,36-49,New,29,2,3,3,2013-10-23,143,7,14,4
5309,Kelli Sun,51,50-64,VIP,6918,3,5,5,2013-10-21,143,17,2306,406
5310,Sheena Chander,51,50-64,Regular,4552,2,5,5,2013-12-23,141,22,2276,206
5311,Desiree Ortega,57,50-64,VIP,6911,3,6,6,2013-09-30,144,16,2303,431
5312,Diana Rubio,52,50-64,VIP,6010,3,5,5,2013-10-21,143,12,2003,500
5313,Carl Beck,52,50-64,Regular,2988,2,5,5,2013-01-04,152,12,1494,249
5314,Bethany Beck,42,36-49,New,64,1,3,3,2013-11-22,142,0,64,64
5315,Hailey Russell,42,36-49,New,4985,2,6,6,2012-12-28,153,7,2492,712
5316,Gabriel Ross,42,36-49,New,112,2,4,4,2013-07-02,146,4,56,28
5317,Garrett Richardson,42,36-49,New,29,1,2,2,2013-10-22,143,0,29,29
5318,Kelli Hu,42,36-49,New,4660,2,4,4,2013-01-16,152,8,2330,582
5319,Joel Raman,42,36-49,Regular,3001,2,3,3,2013-09-15,144,19,1500,157
5320,Kellie Moreno,43,36-49,Regular,3021,2,5,5,2013-09-02,144,19,1510,159
5321,Joy Ortega,43,36-49,New,27,1,2,2,2013-03-24,150,0,27,27
5322,Rachel Simmons,44,36-49,New,49,1,2,2,2013-03-01,150,0,49,49
5323,Ruth Malhotra,40,36-49,New,97,2,5,5,2013-12-31,141,5,48,19
5325,Dustin Raje,45,36-49,New,25,1,1,1,2013-08-19,145,0,25,25
5326,Juan Romero,39,36-49,Regular,3282,2,5,5,2013-02-09,151,12,1641,273
5327,Emma Williams,106,65 and Above,New,171,2,4,4,2013-11-22,142,1,85,171
5328,Jésus Romero,47,36-49,New,25,1,1,1,2013-04-09,149,0,25,25
5329,Darren Diaz,41,36-49,New,4648,2,5,4,2013-01-26,152,8,2324,581
5330,Maurice Rai,47,36-49,Regular,3001,2,3,3,2013-09-18,144,19,1500,157
5331,Jamie Ye,41,36-49,Regular,3271,2,6,6,2013-09-19,144,20,1635,163
5332,Luke Simmons,46,36-49,New,31,1,3,3,2013-05-20,148,0,31,31
5333,Erin Richardson,43,36-49,New,119,3,8,8,2014-01-21,140,10,39,11
5334,Joan Vazquez,71,65 and Above,New,147,2,6,6,2013-12-23,141,3,73,49
5335,Caleb Hill,43,36-49,New,57,1,2,2,2013-06-04,147,0,57,57
5336,Natalie Bailey,42,36-49,New,85,1,3,3,2013-01-30,152,0,85,85
5337,Kristen Lu,42,36-49,New,37,1,3,3,2013-09-23,144,0,37,37
5338,Jonathan Wright,43,36-49,New,64,1,3,3,2013-10-01,143,0,64,64
5339,Jose White,42,36-49,New,7,1,2,2,2013-11-26,142,0,7,7
5340,Barbara Zhang,71,65 and Above,New,169,2,6,6,2013-04-30,149,3,84,56
5341,Seth Davis,70,65 and Above,New,3169,2,2,2,2013-01-07,152,1,1584,3169
5342,Sean Mitchell,39,36-49,New,609,1,4,4,2013-03-28,150,0,609,609
5343,Lacey Raji,68,65 and Above,New,88,2,4,4,2013-10-08,143,1,44,88
5344,Gregory Jai,63,50-64,New,143,2,6,6,2013-12-30,141,1,71,143
5345,Joel Malhotra,57,50-64,New,58,2,4,4,2013-10-31,143,4,29,14
5346,Xavier King,40,36-49,New,2295,1,1,1,2013-10-21,143,0,2295,2295
5347,Francis Ramos,66,65 and Above,Regular,4173,2,4,4,2013-10-17,143,33,2086,126
5348,Marc Navarro,61,50-64,New,37,2,5,3,2013-12-23,141,8,18,4
5349,Raul Sharma,67,65 and Above,VIP,5918,2,5,5,2013-12-22,141,35,2959,169
5350,Roy Raman,65,65 and Above,VIP,5918,2,4,4,2013-12-23,141,35,2959,169
5351,Levi Sai,66,65 and Above,VIP,5898,2,2,2,2013-12-18,141,35,2949,168
5352,Fernando Thompson,60,50-64,VIP,5903,2,4,4,2013-12-23,141,35,2951,168
5353,Martha Xu,65,65 and Above,VIP,5873,2,2,2,2013-12-03,141,36,2936,163
5354,Tiffany Gao,60,50-64,VIP,5948,2,6,6,2013-12-01,141,35,2974,169
5355,Alejandro Xu,44,36-49,New,107,1,3,3,2013-06-09,147,0,107,107
5356,Janet Torres,45,36-49,New,575,1,2,2,2013-03-09,150,0,575,575
5357,Sam Foster,45,36-49,New,90,1,3,3,2013-03-20,150,0,90,90
5358,Sophia Baker,44,36-49,New,7,1,2,2,2013-07-15,146,0,7,7
5359,Margaret Russell,45,36-49,New,5,1,1,1,2013-08-26,145,0,5,5
5360,Samuel Jai,46,36-49,New,88,4,6,6,2013-09-25,144,6,22,14
5361,Shelby Richardson,66,65 and Above,New,7,1,2,2,2013-08-13,145,0,7,7
5362,Justin Garcia,65,65 and Above,New,554,1,3,3,2013-03-01,150,0,554,554
5363,Wyatt White,65,65 and Above,New,2515,1,4,4,2013-03-11,150,0,2515,2515
5364,Joshua Smith,65,65 and Above,New,2482,1,4,4,2013-04-18,149,0,2482,2482
5365,Melanie Ramirez,65,65 and Above,New,2481,1,4,4,2013-03-19,150,0,2481,2481
5366,Shawna Yuan,65,65 and Above,New,2482,1,4,4,2013-04-23,149,0,2482,2482
5367,Jenna Young,64,50-64,New,2490,1,5,5,2013-11-16,142,0,2490,2490
5368,Isabelle Henderson,53,50-64,New,2563,1,2,2,2013-11-11,142,0,2563,2563
5369,Emily Williams,48,36-49,New,40,1,2,2,2013-10-28,143,0,40,40
5370,Lauren Williams,59,50-64,New,99,1,4,4,2014-01-01,140,0,99,99
5371,Isabel Powell,58,50-64,New,27,1,2,2,2013-09-02,144,0,27,27
5372,Molly Gonzalez,58,50-64,New,133,3,6,6,2014-01-27,140,1,44,133
5373,Caleb Diaz,64,50-64,New,55,1,2,2,2013-06-15,147,0,55,55
5374,Vanessa Foster,51,50-64,New,2482,1,4,4,2013-04-04,149,0,2482,2482
5375,Sara Cook,63,50-64,New,2579,1,5,5,2013-04-16,149,0,2579,2579
5376,Edward Phillips,62,50-64,New,15,1,3,3,2013-12-20,141,0,15,15
5377,Gabriella Hernandez,57,50-64,New,2478,1,2,2,2013-05-15,148,0,2478,2478
5378,Maria Wright,62,50-64,New,7,1,2,2,2013-11-02,142,0,7,7
5379,Jordan Adams,56,50-64,New,14,1,2,2,2013-02-23,151,0,14,14
5380,Hailey Baker,62,50-64,New,14,1,2,2,2013-12-14,141,0,14,14
5381,Marc Jimenez,56,50-64,New,59,1,2,2,2013-12-03,141,0,59,59
5382,Mariah Torres,50,50-64,New,196,2,4,4,2013-12-02,141,5,98,39
5383,Kayla Davis,62,50-64,New,5,1,1,1,2013-02-28,151,0,5,5
5384,Jennifer Davis,62,50-64,New,60,1,2,2,2013-04-07,149,0,60,60
5385,Brian Kelly,62,50-64,New,59,1,2,2,2013-03-03,150,0,59,59
5386,Jada Reed,61,50-64,New,7,1,2,2,2013-01-31,152,0,7,7
5387,James Perez,60,50-64,New,64,1,3,3,2013-06-05,147,0,64,64
5388,Philip Moyer,51,50-64,New,130,2,5,5,2013-08-25,145,0,65,130
5389,Douglas Vance,51,50-64,New,95,2,4,4,2013-12-19,141,3,47,31
5390,Jay Torres,46,36-49,New,4674,2,5,5,2013-01-10,152,4,2337,1168
5391,Arturo Shen,46,36-49,New,4639,2,4,4,2013-04-15,149,11,2319,421
5392,Mario Nath,52,50-64,New,4658,2,3,2,2013-04-10,149,11,2329,423
5393,Sergio Suri,46,36-49,New,4625,2,2,2,2013-01-18,152,3,2312,1541
5394,Kari Raman,51,50-64,VIP,5787,3,5,4,2013-10-01,143,13,1929,445
5395,Xavier Edwards,40,36-49,VIP,5842,3,7,7,2013-10-15,143,12,1947,486
5396,Bryan Bell,47,36-49,New,4660,2,3,3,2013-01-10,152,3,2330,1553
5397,Tara Pal,52,50-64,New,64,1,3,3,2013-02-27,151,0,64,64
5398,Keith Rai,53,50-64,New,32,1,3,3,2013-04-04,149,0,32,32
5399,Andy Navarro,47,36-49,New,65,1,3,3,2013-07-31,146,0,65,65
5400,Emmanuel Rana,52,50-64,New,53,1,3,3,2013-03-11,150,0,53,53
5401,Arturo Xu,52,50-64,New,32,1,3,3,2013-03-16,150,0,32,32
5402,Theodore Ramos,47,36-49,New,4958,2,5,5,2013-01-27,152,3,2479,1652
5403,Margaret Gao,52,50-64,New,102,2,5,5,2013-11-08,142,1,51,102
5404,Alexander Martin,52,50-64,New,10,2,2,2,2014-01-28,140,1,5,10
5405,Byron Suarez,53,50-64,New,38,1,3,3,2013-12-10,141,0,38,38
5406,Raul Nara,52,50-64,VIP,6002,3,6,6,2013-10-27,143,12,2000,500
5407,Adriana Sai,53,50-64,Regular,3262,2,3,3,2013-02-13,151,12,1631,271
5408,Dakota Henderson,47,36-49,New,3110,2,3,3,2013-01-31,152,11,1555,282
5409,Colleen Zhao,54,50-64,Regular,3249,2,5,5,2013-10-16,143,20,1624,162
5410,Arthur Madan,55,50-64,New,4693,2,5,4,2013-03-19,150,5,2346,938
5411,Ebony Moreno,49,36-49,Regular,4924,2,5,5,2013-05-11,148,12,2462,410
5412,Joy Navarro,55,50-64,Regular,3242,2,4,4,2013-10-10,143,20,1621,162
5413,Stanley Sanchez,55,50-64,New,4660,2,3,3,2013-05-02,148,11,2330,423
5414,Leah Liang,45,36-49,New,4921,2,4,4,2013-04-19,149,6,2460,820
5415,Julia Gonzalez,89,65 and Above,New,38,1,3,3,2013-03-05,150,0,38,38
5416,Kelly Flores,56,50-64,New,4919,2,3,3,2013-05-28,148,11,2459,447
5417,Andre Patel,56,50-64,New,4930,2,4,4,2013-04-24,149,5,2465,986
5418,Brian Rivera,50,50-64,New,4971,2,4,4,2013-04-19,149,5,2485,994
5419,Noah Bryant,50,50-64,Regular,3001,2,3,3,2013-10-11,143,20,1500,150
5420,Katrina Rai,51,50-64,New,27,1,2,2,2013-02-13,151,0,27,27
5421,Lacey Simpson,57,50-64,New,27,1,2,2,2013-10-29,143,0,27,27
5422,Eddie Alonso,51,50-64,Regular,2959,2,3,3,2013-10-12,143,20,1479,147
5423,Natasha Diaz,51,50-64,New,31,1,3,3,2013-10-30,143,0,31,31
5424,Kurt Xu,46,36-49,Regular,4633,2,3,3,2013-07-01,146,13,2316,356
5425,Sergio Madan,87,65 and Above,New,84,1,3,3,2013-10-01,143,0,84,84
5426,Brandi Diaz,53,50-64,VIP,5739,3,4,4,2013-10-05,143,12,1913,478
5427,Lisa Lu,54,50-64,New,5719,3,4,4,2013-10-02,143,11,1906,519
5428,Jorge Ye,53,50-64,VIP,5769,3,7,7,2013-11-02,142,12,1923,480
5429,Kendra Alonso,48,36-49,New,2975,2,5,5,2013-01-31,152,10,1487,297
5430,Ryan Ross,57,50-64,Regular,3021,2,5,5,2013-10-05,143,19,1510,159
5431,Jaclyn Luo,52,50-64,Regular,4958,2,5,5,2013-07-21,146,13,2479,381
5432,Franklin Rai,54,50-64,New,4639,2,4,4,2013-05-09,148,6,2319,773
5433,Jermaine Rodriguez,49,36-49,New,4769,2,4,4,2013-05-07,148,6,2384,794
5434,John Garcia,50,50-64,New,4634,2,3,3,2013-06-18,147,7,2317,662
5435,Mathew Dominguez,50,50-64,New,4697,2,5,5,2013-06-02,147,7,2348,671
5436,Taylor Bailey,55,50-64,New,70,1,3,3,2013-06-02,147,0,70,70
5437,Steven Cooper,50,50-64,New,6,1,2,2,2013-12-17,141,0,6,6
5438,Ethan Henderson,51,50-64,New,4697,2,5,5,2013-07-02,146,7,2348,671
5439,Jésus Gutierrez,42,36-49,New,47,2,4,4,2013-06-12,147,3,23,15
5440,Kaitlin Arthur,43,36-49,New,25,1,1,1,2013-04-26,149,0,25,25
5441,Dawn Deng,40,36-49,New,25,1,1,1,2013-08-29,145,0,25,25
5442,Jimmy Martin,40,36-49,New,29,1,2,2,2013-02-26,151,0,29,29
5443,Jason Young,41,36-49,New,25,1,1,1,2013-02-15,151,0,25,25
5444,Luke Gonzalez,40,36-49,Regular,4923,2,4,4,2013-07-26,146,13,2461,378
5445,Dawn Gao,41,36-49,New,67,2,4,4,2014-01-23,140,0,33,67
5446,Erika Carlson,56,50-64,Regular,3271,2,4,4,2013-03-11,150,12,1635,272
5447,Caitlin Ward,58,50-64,Regular,3242,2,3,3,2013-11-07,142,20,1621,162
5448,Kristine Munoz,58,50-64,Regular,3093,2,4,4,2013-11-03,142,20,1546,154
5449,Kate Becker,52,50-64,Regular,3001,2,5,5,2013-05-29,148,14,1500,214
5450,Cheryl Martin,58,50-64,VIP,6907,3,6,6,2013-10-16,143,16,2302,431
5451,Casey Browning,42,36-49,New,47,2,4,4,2013-05-25,148,2,23,23
5452,Rebekah Gutierrez,42,36-49,New,38,1,3,3,2013-10-12,143,0,38,38
5453,Karl Stone,42,36-49,Regular,4633,2,3,3,2013-08-25,145,15,2316,308
5454,Cassie Luo,42,36-49,Regular,3071,2,6,6,2013-11-08,142,20,1535,153
5455,Mayra Chandra,43,36-49,New,14,2,4,3,2013-10-25,143,6,7,2
5456,Marco Suri,43,36-49,New,47,2,4,4,2013-04-23,149,2,23,23
5457,Deb Moreno,108,65 and Above,New,29,1,2,2,2013-03-27,150,0,29,29
5458,Larry Navarro,44,36-49,New,65,1,3,3,2013-09-06,144,0,65,65
5459,Kathleen Martin,44,36-49,New,150,1,3,3,2013-08-13,145,0,150,150
5460,Michele Ruiz,43,36-49,New,25,1,1,1,2013-03-27,150,0,25,25
5461,Carolyn Kapoor,44,36-49,New,47,2,4,4,2013-04-04,149,2,23,23
5462,Jodi Xu,43,36-49,New,47,2,4,4,2013-11-23,142,5,23,9
5463,Rosa Wu,44,36-49,Regular,3286,2,4,4,2013-11-23,142,20,1643,164
5464,Marissa Gonzales,45,36-49,New,49,1,2,2,2014-01-10,140,0,49,49
5465,Anna Murphy,44,36-49,New,60,1,4,4,2013-06-11,147,0,60,60
5466,Alan Liu,46,36-49,New,45,2,3,3,2013-09-07,144,4,22,11
5467,Kara Goel,45,36-49,Regular,3271,2,7,7,2013-11-01,142,20,1635,163
5468,Alisha Kumar,46,36-49,Regular,4625,2,2,2,2013-09-27,144,15,2312,308
5469,Ronald Srini,45,36-49,New,12,2,3,3,2014-01-15,140,3,6,4
5470,Orlando Dominguez,44,36-49,New,64,1,3,3,2013-09-08,144,0,64,64
5471,Michele Tang,44,36-49,New,64,1,3,3,2013-04-16,149,0,64,64
5472,Wesley Guo,44,36-49,Regular,3021,2,3,3,2013-05-11,148,14,1510,215
5473,Vanessa Hayes,106,65 and Above,New,53,1,3,3,2013-12-03,141,0,53,53
5474,Olivia Robinson,40,36-49,New,27,1,2,2,2013-11-01,142,0,27,27
5475,Dawn Andersen,47,36-49,New,25,1,1,1,2013-10-05,143,0,25,25
5476,Jay Serrano,47,36-49,New,25,1,1,1,2013-03-28,150,0,25,25
5477,Kurt Anand,41,36-49,Regular,4674,2,5,5,2013-09-09,144,15,2337,311
5478,Shawn Xie,46,36-49,New,4716,2,5,5,2013-08-15,145,8,2358,589
5479,Anna Gonzales,43,36-49,New,40,1,2,2,2013-02-15,151,0,40,40
5480,Adrian Gray,43,36-49,New,2386,1,5,5,2013-10-12,143,0,2386,2386
5481,Victoria Brooks,44,36-49,New,159,3,9,7,2013-11-22,142,6,53,26
5482,Alan Zhou,65,65 and Above,New,145,2,5,5,2014-01-12,140,7,72,20
5483,Madison Bryant,71,65 and Above,New,195,2,8,7,2013-12-21,141,3,97,65
5484,Tabitha Arthur,70,65 and Above,Regular,4783,2,4,4,2013-02-20,151,25,2391,191
5485,Warren Jai,64,50-64,Regular,4118,2,2,2,2013-11-21,142,34,2059,121
5486,Dustin Lal,70,65 and Above,Regular,4175,2,5,5,2013-11-02,142,34,2087,122
5487,Ian Foster,40,36-49,New,40,1,2,2,2013-10-12,143,0,40,40
5488,Rachael Madan,69,65 and Above,New,113,2,5,5,2014-01-01,140,10,56,11
5489,Brianna Griffin,69,65 and Above,New,73,2,5,5,2013-07-17,146,1,36,73
5490,Joel Rodriguez,69,65 and Above,New,233,2,8,7,2014-01-07,140,10,116,23
5491,Frederick Garcia,68,65 and Above,New,112,2,6,6,2013-05-09,148,2,56,56
5492,Megan Robinson,40,36-49,New,2478,1,2,2,2013-05-19,148,0,2478,2478
5493,Christian Garcia,41,36-49,New,3106,2,4,4,2013-08-16,145,7,1553,443
5494,Theodore Sanz,68,65 and Above,New,131,2,6,5,2014-01-22,140,3,65,43
5495,Brenda Fernandez,66,65 and Above,Regular,4197,2,3,3,2013-12-20,141,35,2098,119
5496,Jordyn Simmons,60,50-64,VIP,5961,2,4,4,2013-12-16,141,35,2980,170
5497,Monique Ramos,65,65 and Above,VIP,6002,2,6,6,2013-12-05,141,35,3001,171
5498,Dawn Tang,60,50-64,VIP,5960,2,5,5,2013-12-25,141,35,2980,170
5499,Julia Peterson,44,36-49,New,132,4,8,8,2013-12-10,141,7,33,18
5500,Hunter Jones,44,36-49,New,40,1,2,2,2013-09-07,144,0,40,40
5501,Danielle Kelly,44,36-49,New,5,1,1,1,2013-12-23,141,0,5,5
5502,Chloe Perry,45,36-49,New,589,1,4,4,2013-04-20,149,0,589,589
5503,Vanessa Wood,44,36-49,New,5,1,1,1,2013-09-02,144,0,5,5
5504,Jackson Parker,45,36-49,New,40,1,2,2,2014-01-12,140,0,40,40
5505,Christian Anderson,45,36-49,New,5,1,1,1,2013-05-17,148,0,5,5
5506,Justin Russell,45,36-49,New,589,1,4,4,2013-04-05,149,0,589,589
5507,Erin Gray,40,36-49,New,40,1,2,2,2013-12-11,141,0,40,40
5508,Catherine Murphy,41,36-49,New,102,3,6,6,2014-01-23,140,9,34,11
5509,Tracy Nath,80,65 and Above,New,35,1,3,3,2013-07-14,146,0,35,35
5510,Brent Zhu,80,65 and Above,New,84,1,3,3,2013-08-23,145,0,84,84
5511,Veronica Sai,79,65 and Above,Regular,3258,2,6,6,2013-11-07,142,20,1629,162
5512,Brad Nara,77,65 and Above,New,27,1,2,2,2013-04-08,149,0,27,27
5513,Joe Raman,78,65 and Above,New,47,2,4,4,2013-07-15,146,5,23,9
5514,Ricardo Sharma,78,65 and Above,Regular,3262,2,3,3,2013-05-14,148,14,1631,233
5515,Ronnie Wagner,77,65 and Above,New,4670,2,5,5,2013-08-07,145,9,2335,518
5516,Manuel Fernandez,40,36-49,Regular,4761,2,4,4,2013-02-10,151,25,2380,190
5517,Troy Sai,40,36-49,Regular,4733,2,3,3,2013-03-18,150,26,2366,182
5518,Melvin She,39,36-49,Regular,4733,2,3,3,2013-03-13,150,26,2366,182
5519,Katrina Raji,44,36-49,Regular,4698,2,2,2,2013-03-22,150,27,2349,174
5520,Krystal Holt,44,36-49,Regular,4698,2,2,2,2013-03-26,150,26,2349,180
5521,Yolanda Chander,43,36-49,Regular,4752,2,3,3,2013-04-09,149,27,2376,176
5522,Misty Raji,43,36-49,Regular,4727,2,4,4,2013-04-06,149,27,2363,175
5523,Tonya She,40,36-49,Regular,4698,2,2,2,2013-04-01,149,27,2349,174
5524,Casey Pal,40,36-49,Regular,4698,2,2,2,2013-04-08,149,27,2349,174
5525,Sandra Huang,41,36-49,Regular,4698,2,2,2,2013-04-06,149,27,2349,174
5526,Damien Huang,40,36-49,Regular,4733,2,3,3,2013-04-28,149,27,2366,175
5527,Martha Liang,42,36-49,Regular,4752,2,3,3,2013-05-06,148,28,2376,169
5528,Arthur Perez,41,36-49,Regular,4757,2,4,4,2013-06-11,147,29,2378,164
5529,Cory Arun,42,36-49,Regular,4752,2,3,3,2013-06-25,147,29,2376,163
5530,Dominique Garcia,41,36-49,Regular,4698,2,2,2,2013-06-21,147,29,2349,162
5531,Jonathon Gutierrez,42,36-49,Regular,4752,2,3,3,2013-06-18,147,29,2376,163
5532,Priscilla Chander,76,65 and Above,Regular,3001,2,3,3,2013-12-01,141,20,1500,150
5533,Lacey Gao,77,65 and Above,Regular,3291,2,6,6,2013-12-10,141,20,1645,164
5534,Tommy Sharma,48,36-49,New,4921,2,3,3,2013-09-21,144,9,2460,546
5535,Kristen Cai,59,50-64,New,4703,2,5,4,2013-09-24,144,9,2351,522
5536,Claudia Holt,59,50-64,Regular,4821,2,5,5,2013-10-22,143,16,2410,301
5537,Colin Chen,54,50-64,New,38,1,3,3,2013-06-03,147,0,38,38
5538,Meghan Jimenez,59,50-64,New,27,1,2,2,2013-05-31,148,0,27,27
5539,Arthur Dominguez,59,50-64,New,25,1,1,1,2013-05-26,148,0,25,25
5540,Stacey Liang,60,50-64,Regular,4660,2,3,3,2013-10-07,143,16,2330,291
5541,Christy Li,54,50-64,New,84,1,3,3,2013-02-06,151,0,84,84
